instance_id,scenario,subtype,subtype_zh,migration_type,migration_type_zh,implementation_scope,implementation_scope_zh,logic_equivalence_scope,logic_equivalence_scope_zh,repo_full_name,repo_created_at,repo_stars,pr_number,pr_url,pr_created_at,title,body_summary,changed_file_summary,has_tests_before,has_tests_before_zh,adds_new_tests,adds_new_tests_zh,auto_signals,auto_signals_zh,manual_label,manual_label_zh,source_language,source_language_zh,target_language,target_language_zh,source_version,target_version,migration_pattern,test_framework,test_framework_zh,build_system,build_system_zh,reproducible,reproducible_zh,issue_rewrite_ready,issue_rewrite_ready_zh,leakage_risk,leakage_risk_zh,exclude_reason,exclude_reason_zh,reviewer,cross_check_status,cross_check_status_zh,notes
py2_py3__Ananay28425__Sequence-LLM__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Ananay28425/Sequence-LLM,,5,3,https://github.com/Ananay28425/Sequence-LLM/pull/3,,Harden ServerManager port reclaim with strict safety checks,### Motivation - Remove the unsafe unconditional kill behavior that could terminate unrelated processes listening on the same port. - Ensure port reclamation only targets processes owned or started by Sequence-LLM or known llama-server binaries/commands. - Provide a strict mode that refuses to...,src/seq_llm/core/server_manager.py; tests/unit/test_server_manager.py,true,是,false,否,strict_migration_signal; touches_code; touches_tests,强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Arvo-AI__aurora__pr143,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Arvo-AI/aurora,2026-01-22T14:12:32Z,134,143,https://github.com/Arvo-AI/aurora/pull/143,2026-03-06T21:43:16Z,fix slack env var raising value error,"Slack signing secret crash SLACK_SIGNING_SECRET was validated at module import time, causing the server to refuse to start if the env var wasn't set. Moved the check inside verify_slack_signature() so it follows the same lazy pattern as all other connectors — the server starts fine without it,...",server/routes/slack/slack_events_helpers.py; server/utils/db/db_utils.py,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Calysto__metakernel__pr300,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Calysto/metakernel,2014-08-24T20:53:45Z,365,300,https://github.com/Calysto/metakernel/pull/300,2026-02-23T20:41:46Z,Add type annotations and mypy support,"## Summary - Add `py.typed` marker file (PEP 561) declaring the package as typed - Add `[tool.mypy]` configuration to `pyproject.toml` (Python 3.9, `ignore_missing_imports`, images subpackage excluded) - Add `typing` target to `Makefile` running `mypy metakernel/` - Add type annotations across...",Makefile; metakernel/_metakernel.py; metakernel/config.py; metakernel/display.py; metakernel/images/dragon.py; metakernel/magic.py; metakernel/magics/activity_magic.py; metakernel/magics/blockly_magic.py; metakernel/magics/brain_magic.py; metakernel/magics/cd_magic.py; metakernel/magics/connect_info_magic.py; metakernel/magics/conversation_magic.py; metakernel/magics/debug_magic.py; metakernel/magics/dot_magic.py; metakernel/magics/download_magic.py; metakernel/magics/edit_magic.py; metakernel/magics/file_magic.py; metakernel/magics/get_magic.py; metakernel/magics/help_magic.py; metakernel/magics/html_magic.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Calysto__metakernel__pr315,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Calysto/metakernel,2014-08-24T20:53:45Z,365,315,https://github.com/Calysto/metakernel/pull/315,2026-02-27T12:59:06Z,Remove Python 2 compatibility shims and modernize string formatting,"## Summary - Remove `u()` pass-through function and `basestring = str` alias from `replwrap.py` - Remove `u` from `__init__.py` public API (`import` and `__all__`) - Strip all `u""...""` string prefixes and `u(...)` call wrappers throughout the codebase - Convert `%-format` strings to f-strings...",metakernel/__init__.py; metakernel/_metakernel.py; metakernel/images/dragon.py; metakernel/magic.py; metakernel/magics/activity_magic.py; metakernel/magics/connect_info_magic.py; metakernel/magics/conversation_magic.py; metakernel/magics/debug_magic.py; metakernel/magics/download_magic.py; metakernel/magics/file_magic.py; metakernel/magics/help_magic.py; metakernel/magics/install_magic.py; metakernel/magics/install_magic_magic.py; metakernel/magics/macro_magic.py; metakernel/magics/magic_magic.py; metakernel/magics/parallel_magic.py; metakernel/magics/processing_magic.py; metakernel/magics/python_magic.py; metakernel/magics/shell_magic.py; metakernel/parser.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__HEPData__hepdata_lib__pr283,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,HEPData/hepdata_lib,2018-04-12T12:35:04Z,17,283,https://github.com/HEPData/hepdata_lib/pull/283,2025-09-25T08:22:50Z,Remove requirement of the future package,"`raise ... from` is available since forever?, so no need for keeping the obsolete future module The future package relies on 2to3, which was removed in python 3.13. We want to get rid of the future package in the LCG stacks for python 3.13 <!-- readthedocs-preview hepdata-lib start --> ---- 📚...",hepdata_lib/__init__.py; hepdata_lib/c_file_reader.py; hepdata_lib/root_utils.py; requirements.txt; tests/test_utilities.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__HyperionGray__massweb__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,HyperionGray/massweb,2015-03-17T20:58:39Z,48,3,https://github.com/HyperionGray/massweb/pull/3,2025-10-15T07:06:41Z,Update massweb to Python 3 and fix vulnerability detection bugs,## Overview This PR migrates the massweb vulnerability scanner from Python 2.7 to Python 3 and fixes critical bugs that prevented proper vulnerability detection and reporting. ## Issues Fixed ### Critical Bug: XSS Detection Not Working The XSS vulnerability checker was failing to detect cross-...,massweb/fuzz_generators/url_generator.py; massweb/fuzzers/bsqli_fuzzer.py; massweb/fuzzers/web_fuzzer.py; massweb/hadoop-utils/massweb_mapper.py; massweb/hadoop-utils/massweb_reducer.py; massweb/hadoop-utils/massweb_simple_reducer.py; massweb/mass_requests/mass_request.py; massweb/mass_requests/response_analysis.py; massweb/masscrawler/masscrawl.py; massweb/pnk_net/find_post.py; massweb/pnk_net/pnk_request.py; massweb/proxy_rotator/proxy_rotate.py; massweb/targets/target.py; massweb/vuln_checks/match.py; massweb/vuln_checks/xpathi.py; setup.py; test/docs/wiki_usage_test_4.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__IBM__dbt-watsonx-spark__pr61,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,IBM/dbt-watsonx-spark,2024-12-04T05:04:02Z,5,61,https://github.com/IBM/dbt-watsonx-spark/pull/61,2026-03-25T09:01:12Z,create_schema and location flags,resolves # [docs](https://github.com/dbt-labs/docs.getdbt.com/issues/new/choose) dbt-labs/docs.getdbt.com/# <!--- Include the number of the issue addressed by this PR above if applicable. PRs for code changes without an associated issue *will not be merged*. See CONTRIBUTING.md for more...,README.md; dbt/adapters/watsonx_spark/__version__.py; dbt/adapters/watsonx_spark/connections.py; dbt/adapters/watsonx_spark/http_auth/authenticator.py; dbt/adapters/watsonx_spark/http_auth/wxd_authenticator.py; dbt/adapters/watsonx_spark/impl.py; dbt/include/watsonx_spark/macros/adapters.sql; dbt/include/watsonx_spark/profile_template.yml; setup.py; tests/unit/test_create_schemas.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Juniper__ansible-junos-stdlib__pr768,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Juniper/ansible-junos-stdlib,2014-01-23T19:28:58Z,335,768,https://github.com/Juniper/ansible-junos-stdlib/pull/768,2025-09-02T07:05:19Z,fix review comments,"Fix for ansible-test sanity errors observed with ansible [core 2.16.0] fix for #770 Fix for #771 v1.0.9 update ``` (review2venv) root@masterhost:~/ansible_review_comments2/ansible-junos-stdlib/ansible_collections/juniper/device# ansible-test sanity Running sanity test ""action-plugin-docs"" Running...",.github/workflows/ansible_lint.yml; ansible_collections/juniper/device/CHANGELOG.rst; ansible_collections/juniper/device/README.md; ansible_collections/juniper/device/galaxy.yml; ansible_collections/juniper/device/meta/runtime.yml; ansible_collections/juniper/device/plugins/connection/pyez.py; ansible_collections/juniper/device/plugins/module_utils/configuration.py; ansible_collections/juniper/device/plugins/modules/software.py; ansible_collections/juniper/device/requirements.txt; ansible_collections/juniper/device/tests/integration/targets/junos_config/tests/common/config.yml; ansible_collections/juniper/device/tests/integration/targets/junos_facts/tests/common/facts.yml; ansible_collections/juniper/device/tests/integration/targets/junos_rpc/tests/common/rpc.yml; ansible_collections/juniper/device/tests/integration/targets/junos_system/tests/common/system.yml; ansible_collections/juniper/device/tests/integration/targets/junos_table/tests/common/table.yml; ansible_collections/juniper/device/tests/sanity/ignore-2.16.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.17.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.18.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.19.txt; ansible_collections/juniper/device/version.py; requirements.txt,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__aaronsb__bosectl__pr2,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,aaronsb/bosectl,,7,2,https://github.com/aaronsb/bosectl/pull/2,,Implement Rust BMAP library and bmapctl CLI,## Summary - Full Rust implementation of the BMAP protocol library (`bmap` crate) - Same layered architecture as Python: protocol → transport → connection → CLI - `bmapctl` binary — single 599KB native executable - `Transport` trait enables mock testing without Bluetooth hardware - QC Ultra 2...,python/pybmap/connection.py; rust/Cargo.lock; rust/Cargo.toml; rust/src/connection.rs; rust/src/device.rs; rust/src/devices.rs; rust/src/discovery.rs; rust/src/error.rs; rust/src/lib.rs; rust/src/main.rs; rust/src/protocol.rs; rust/src/transport.rs,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__asgard-ai-platform__mcp-shopline__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,asgard-ai-platform/mcp-shopline,,10,3,https://github.com/asgard-ai-platform/mcp-shopline/pull/3,,Migrate MCP server to official MCP Python SDK decorator pattern,## Summary - Replace the hand-rolled JSON-RPC 2.0 stdio loop in `mcp_server.py` with `MCPServer` from the [MCP Python SDK](https://github.com/modelcontextprotocol/python-sdk) (v2) - Convert all 19 tools across 3 modules to `@mcp.tool()` decorator pattern with typed parameters and `Field()`...,CONTRIBUTING.md; README.md; README.zh-TW.md; app.py; mcp_server.py; pyproject.toml; tests/test_all_tools.py; tools/analytics_tools.py; tools/order_tools.py; tools/product_tools.py; tools/tool_registry.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
