instance_id,scenario,subtype,migration_type,implementation_scope,logic_equivalence_scope,repo_full_name,repo_created_at,repo_stars,pr_number,pr_url,pr_created_at,title,body_summary,changed_file_summary,has_tests_before,adds_new_tests,auto_signals,manual_label,source_language,target_language,source_version,target_version,migration_pattern,test_framework,build_system,reproducible,issue_rewrite_ready,leakage_risk,exclude_reason,reviewer,cross_check_status,notes
cpp_python__FLAK-ZOSO__Sista__pr63,language_migration,cpp_python,cross_language_migration,,,FLAK-ZOSO/Sista,,6,63,https://github.com/FLAK-ZOSO/Sista/pull/63,,C API exceptions,,Makefile; ReleaseNotes.md; changelog.md; demo/Makefile; demo/api-test-border.cpp; demo/api-test-cursor.c; demo/api-test-errors.c; demo/api-test-multiple-styles.c; demo/api-test-swap.cpp; demo/api-test.cpp; include/sista/api.cpp; include/sista/api.h; include/sista/field.cpp; include/sista/field.hpp; python/README.md; python/demo/test_comprehensive.py; python/demo/test_field.py; python/src/sista/__init__.py; python/src/sista/__init__.pyi; python/src/sistamodule.c,true,false,touches_code; touches_tests,,,,,,,test_files_detected,make,unknown,needs_check,low,,,,
cpp_python__Genesis-Embodied-AI__real-time-monitor__pr66,language_migration,cpp_python,cross_language_migration,,,Genesis-Embodied-AI/real-time-monitor,,5,66,https://github.com/Genesis-Embodied-AI/real-time-monitor/pull/66,,Support RAII for C++ and ctx manager for Python,,lib/include/rtm/probe.h; lib/py_bindings/src/lib_py.cc; lib/src/probe.cc; py_bindings/examples/probe.py,true,false,touches_code,,,,,,,,,unknown,needs_check,low,,,,
cpp_python__LalitMaganti__syntaqlite__pr72,language_migration,cpp_python,cross_language_migration,,,LalitMaganti/syntaqlite,,672,72,https://github.com/LalitMaganti/syntaqlite/pull/72,,synq: add dialect support to Python API,"## Motivation The Python API (`format_sql`, `parse`, `validate`, `tokenize`) is hardcoded to SQLite. Users need to load external dialect extensions (like Perfetto) from Python. Stacked on #71 (Grammar→Dialect rename). ## Changes **C library (`dialect_load.c`):** - `syntaqlite_dialect_load(path,...",python/csrc/_syntaqlite.c; python/syntaqlite/__init__.py; syntaqlite-syntax/build.rs; syntaqlite-syntax/csrc/dialect_load.c; syntaqlite-syntax/include/syntaqlite/dialect.h; syntaqlite/include/syntaqlite/formatter.h; syntaqlite/include/syntaqlite/validation.h; syntaqlite/src/fmt/ffi.rs; syntaqlite/src/semantic/ffi.rs,true,false,keyword_match; strict_migration_signal; touches_code,,,,,,,,,unknown,needs_check,medium,,,,
cpp_python__acados__acados__pr1811,language_migration,cpp_python,cross_language_migration,,,acados/acados,,1310,1811,https://github.com/acados/acados/pull/1811,,Python: remove unused variables from `generic_impl_dyn.c`,Not much to add: these variables are not used and should be removed.,examples/acados_python/generic_impl_dyn/generic_impl_dyn.c,true,false,touches_code,,,,,,,,,unknown,needs_check,low,,,,
cpp_python__arendst__Tasmota__pr24599,language_migration,cpp_python,cross_language_migration,,,arendst/Tasmota,,24254,24599,https://github.com/arendst/Tasmota/pull/24599,,Berry solidification made possible with Python runtime,## Description: The Berry runtime was ported from `C` to `Python` which allows to move solidification stage into the toolchain. The goal is eventually to introduce new features like conditional compilation (smaller firmwares) and text localization. The porting took less than a week using Kiro and...,lib/libesp32/berry/berry_port/__init__.py; lib/libesp32/berry/berry_port/__main__.py; lib/libesp32/berry/berry_port/be_api.py; lib/libesp32/berry/berry_port/be_baselib.py; lib/libesp32/berry/berry_port/be_bytecode.py; lib/libesp32/berry/berry_port/be_byteslib.py; lib/libesp32/berry/berry_port/be_class.py; lib/libesp32/berry/berry_port/be_code.py; lib/libesp32/berry/berry_port/be_constobj.py; lib/libesp32/berry/berry_port/be_debug.py; lib/libesp32/berry/berry_port/be_decoder.py; lib/libesp32/berry/berry_port/be_exec.py; lib/libesp32/berry/berry_port/be_filelib.py; lib/libesp32/berry/berry_port/be_func.py; lib/libesp32/berry/berry_port/be_gc.py; lib/libesp32/berry/berry_port/be_int64lib.py; lib/libesp32/berry/berry_port/be_jsonlib.py; lib/libesp32/berry/berry_port/be_lexer.py; lib/libesp32/berry/berry_port/be_libs.py; lib/libesp32/berry/berry_port/be_list.py,true,false,strict_migration_signal; touches_code,,,,,,,,,unknown,needs_check,low,,,,
cpp_python__eqcorrscan__EQcorrscan__pr619,language_migration,cpp_python,cross_language_migration,,,eqcorrscan/EQcorrscan,,183,619,https://github.com/eqcorrscan/EQcorrscan/pull/619,,Fill distance matrix in C code.,<!-- Thank your for contributing to EQcorrscan! Please fill out the sections below. --> ### What does this PR do? Fills the distance matrix in C rather than Python. Reduces duplicate memory use and runs faster.,eqcorrscan/utils/clustering.py; eqcorrscan/utils/src/distance_cluster.c,true,false,touches_code,,,,,,,,,unknown,needs_check,low,,,,
cpp_python__hdtv-tool__hdtv__pr52,language_migration,cpp_python,cross_language_migration,,,hdtv-tool/hdtv,,21,52,https://github.com/hdtv-tool/hdtv/pull/52,,Move TH1IntegrateWithPartialBins from C++ to Python,"ROOT.HDTV.TH1IntegrateWithPartialBins() is only used in histogram.py. Since it is a small and easy function, it can be implemented directly in PyROOT and does not need to be compiled. --- This patch isn't covered by the test suite. ~I'm also unsure how to trigger the function manually.~ Manual...",src/hdtv/histogram.py; src/hdtv/rootext/fit/LinkDef.h; src/hdtv/rootext/fit/Util.cc; src/hdtv/rootext/fit/Util.hh,true,false,keyword_match; strict_migration_signal; touches_code,,,,,,,,,unknown,needs_check,low,,,,
cpp_python__heikki-laitala__pruner__pr30,language_migration,cpp_python,cross_language_migration,,,heikki-laitala/pruner,,8,30,https://github.com/heikki-laitala/pruner/pull/30,,feat: add C/C++ language support,"## Summary - Add `tree-sitter-c` and `tree-sitter-cpp` grammars for parsing C and C++ source files - C extraction: functions, structs, enums, unions, typedefs, `#include` directives, and call expressions (including `->` member calls) - C++ extraction: classes, namespaces, structs, inline and out-...",Cargo.toml; README.md; src/indexer.rs; src/languages.rs; src/parser.rs; tests/fixtures/c_project/src/auth.c; tests/fixtures/c_project/src/auth.h; tests/fixtures/c_project/src/main.c; tests/fixtures/c_project/src/user.c; tests/fixtures/c_project/src/user.h; tests/fixtures/c_project/tests/test_auth.c; tests/fixtures/cpp_project/src/auth_service.cpp; tests/fixtures/cpp_project/src/auth_service.hpp; tests/fixtures/cpp_project/src/main.cpp; tests/fixtures/cpp_project/src/user.hpp; tests/fixtures/cpp_project/tests/auth_test.cpp; tests/integration.rs,true,true,adds_new_tests; touches_code; touches_tests,,,,,,,test_files_detected,,unknown,needs_check,low,,,,
cpp_python__hw-native-sys__simpler__pr504,language_migration,cpp_python,cross_language_migration,,,hw-native-sys/simpler,,9,504,https://github.com/hw-native-sys/simpler/pull/504,,Refactor: move python/ modules into python/simpler/ package,"## Summary - Move all 7 flat modules from `python/` into `python/simpler/` package, aligning with pypto's convention (`python/pypto/`) - Convert intra-package imports to relative form (e.g., `from .toolchain import ...`) - Update all external consumers (~50 files) to use `from simpler.X import Y`...",ci.py; conftest.py; docs/getting-started.md; docs/testing.md; examples/a2a3/aicpu_build_graph/bgemm/kernels/kernel_config.py; examples/a2a3/aicpu_build_graph/vector_example/kernels/kernel_config.py; examples/a2a3/host_build_graph/bgemm/kernels/kernel_config.py; examples/a2a3/host_build_graph/matmul/kernels/kernel_config.py; examples/a2a3/host_build_graph/paged_attention/kernels/kernel_config.py; examples/a2a3/host_build_graph/vector_example/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/batch_paged_attention/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/bgemm/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/mixed_example/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/multi-round-paged-attention/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/paged_attention/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/vector_example/kernels/kernel_config.py; examples/a2a3/tensormap_and_ringbuffer/vector_example/test_vector_example.py; examples/a5/host_build_graph/paged_attention/kernels/kernel_config.py; examples/a5/tensormap_and_ringbuffer/bgemm/kernels/kernel_config.py; examples/a5/tensormap_and_ringbuffer/mixed_example/kernels/kernel_config.py,true,false,touches_code; touches_tests,,,,,,,pytest,,unknown,needs_check,high,,,,
cpp_python__neurophysik__jitcdde__pr67,language_migration,cpp_python,cross_language_migration,,,neurophysik/jitcdde,,58,67,https://github.com/neurophysik/jitcdde/pull/67,,Improve performance in jitcdde_template.c,"This has two performance improvements: 1. Uses Horner to evaluate some of the cubic polynomials. As far as I can tell, this has a very negligible effect (likely because `-O3` does it anyway). 2. Passes anchors around by pointer instead of by value. This seems to have a noticeable effect for...",jitcdde/_jitcdde.py; jitcdde/jitced_template.c,true,false,touches_code,,,,,,,,,unknown,needs_check,medium,,,,
